,class,in_file,out_file,x_min,y_min,x_max,y_max,x_center,y_center,width,height,class_id
0,cactus,./Data/cactus/4.jpg,./Data/cactus/4.png,0.33035714285714285,0.09375,0.7098214285714286,0.8839285714285714,0.5200892857142857,0.4888392857142857,0.37946428571428575,0.7901785714285714,0
1,cactus,./Data/cactus/10.jpg,./Data/cactus/10.png,0.125,0.06696428571428571,0.7767857142857143,0.9955357142857143,0.45089285714285715,0.53125,0.6517857142857143,0.9285714285714286,0
2,cactus,./Data/cactus/6.jpg,./Data/cactus/6.png,0.4017857142857143,0.35267857142857145,0.5714285714285714,0.7410714285714286,0.48660714285714285,0.546875,0.1696428571428571,0.38839285714285715,0
3,cactus,./Data/cactus/7.jpg,./Data/cactus/7.png,0.35267857142857145,0.22321428571428573,0.7678571428571429,0.45089285714285715,0.5602678571428572,0.33705357142857145,0.41517857142857145,0.22767857142857142,0
4,cactus,./Data/cactus/3.jpg,./Data/cactus/3.png,0.12946428571428573,0.26339285714285715,0.48214285714285715,0.6339285714285714,0.30580357142857145,0.4486607142857143,0.3526785714285714,0.37053571428571425,0
5,cactus,./Data/cactus/1.jpg,./Data/cactus/1.png,0.32142857142857145,0.26785714285714285,0.8214285714285714,0.9955357142857143,0.5714285714285714,0.6316964285714286,0.49999999999999994,0.7276785714285714,0
6,cactus,./Data/cactus/2.jpg,./Data/cactus/2.png,0.45982142857142855,0.11607142857142858,0.8258928571428571,0.8883928571428571,0.6428571428571428,0.5022321428571428,0.36607142857142855,0.7723214285714285,0
7,cactus,./Data/cactus/8.jpg,./Data/cactus/8.png,0.35267857142857145,0.20535714285714285,0.7232142857142857,0.7053571428571429,0.5379464285714286,0.4553571428571429,0.37053571428571425,0.5,0
8,cactus,./Data/cactus/9.jpg,./Data/cactus/9.png,0.23214285714285715,0.29464285714285715,0.6339285714285714,0.59375,0.4330357142857143,0.4441964285714286,0.40178571428571425,0.29910714285714285,0
9,cactus,./Data/cactus/5.jpg,./Data/cactus/5.png,0.2544642857142857,0.049107142857142856,0.8258928571428571,0.6517857142857143,0.5401785714285714,0.3504464285714286,0.5714285714285714,0.6026785714285714,0
0,briefcase,./Data/briefcase/4.jpg,./Data/briefcase/4.png,0.4107142857142857,0.45089285714285715,0.65625,0.7455357142857143,0.5334821428571428,0.5982142857142857,0.2455357142857143,0.29464285714285715,1
